sentence,mdd,t_depth,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords,result
אתה מוזמן לפנות אלינו כדי למצות את זכויותיך.​,3.74,8,7,8,36,4.5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,2,0,0,2,4,0,0,0,2,0
באתר זה תוכל לברר את הזכויות המגיעות לך בהתאם לאירועים ושינוים שהתרחשו בחייך.,11.37,24,12,13,64,4.923,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,8,6,2,2,0,0,0,0,0,2,0,4,2,2,0,0,2,2,1
ימים אלו לא מופחתים ממכסת ימי האבטלה שלהם אתה זכאי.,5.76,13,9,10,41,4.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,2,0,4,0,2,0,0,0,0,4,0,0,0,2,4,1
"התשלום בעד חודש האבטלה הראשון מתבצע במועד לא קבוע, והוא תלוי בתאריך שבו הוגשה התביעה וזמן הטיפול בסניף.",16.4,33,17,18,84,4.667,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,6,14,4,4,0,4,0,2,0,0,0,2,2,4,0,0,0,1,1
במניין חודשי האכשרה יילקחו בחשבון עד 6 חודשים מתוך תקופת השירות הלאומי.,8.57,18,11,12,59,4.917,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,8,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,1,1
מובטל שחלה בתקופת האבטלה יכול לקבל דמי אבטלה עד ל- 30 ימי מחלה.,7.57,15,12,13,49,3.769,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,2,2,0,0,2,6,0,0,0,0,0,2,0,2,0,0,2,2,1
"כדי לקבל תשלום בעד ימי המחלה, יש להביא ללשכת שירות התעסוקה אישורים על תקופת המחלה, שמנעה מהמובטל להתייצב בלשכה.",14.14,30,18,19,90,4.737,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,6,10,0,0,0,8,0,0,0,0,0,2,0,6,0,0,2,2,1
ההכנסות ינוכו מדמי האבטלה המגיעים לו.,4.96,10,5,6,31,5.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,4,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0
"מי שמעסיקו הוציא אותו לחופשה ללא תשלום, שלא מרצונו, יכול להיות זכאי לדמי אבטלה אם הוא נמצא בחופשה ללא תשלום 30 ימים לפחות.",15.47,31,22,23,97,4.217,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,8,0,0,2,0,4,0,4,2,2,2,4,2,4,0,0,4,6,1
"אם לעובד נותרו ימי חופשה, הוא לא יקבל תשלום בעד ימי אבטלה הראשונים, כמספר ימי החופשה שנותרו לזכותו לפני היציאה לחופשה ללא תשלום.",16.36,33,22,23,103,4.478,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,8,8,0,0,0,6,0,2,2,0,0,2,2,6,2,0,0,4,1
חשוב להתייצב בלשכת שירות התעסוקה בסמוך ליציאה לחופשה ללא תשלום.,6.8,15,9,10,53,5.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,8,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0
אם תשתהה אתה עלול לאבד את זכאותך.,3.54,6,6,7,26,3.714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,3,0
פנסיה שמקורה בישראל או בחול אינה נחשבת להכנסה לעניין זכאות לקצבת אזרח ותיק.,9.81,19,12,14,62,4.429,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,8,2,2,2,2,4,0,0,2,0,0,2,0,0,0,0,0,1,1
"קצבת אזרח ותיק משולמת ב- 28 בכל חודש, בעד אותו החודש.",5.44,12,10,11,40,3.636,2,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,2,0,0,2,0,2,0,2,0,2,0,0,0,2,2,0,0,1,0
